;coin;date;price;market_cap;growth_p;growth_m
0;star-atlas;01/09/21;0.08253272195577589;0.0;0.0;0.0
1;star-atlas;02/09/21;0.08253272195577589;0.0;0.0;0.0
2;star-atlas;03/09/21;0.15384217725847077;0.0;0.8640143401656515;0.0
3;star-atlas;04/09/21;0.23391783965599214;507856624.9351629;0.5205052595101145;0.0
4;star-atlas;05/09/21;0.2020279838849657;430960396.9869484;-0.13632930185198688;-0.15141326148503376
5;star-atlas;06/09/21;0.1808348835061604;390544536.30943197;-0.10490180603332966;-0.09378091574094316
6;star-atlas;07/09/21;0.13946850415290613;303490749.48265916;-0.22875221058687534;-0.22290360953302213
7;star-atlas;08/09/21;0.1459623001067638;315463817.4874292;0.04656102102262616;0.03945117940227094
8;star-atlas;09/09/21;0.13788825965729085;299038480.0489021;-0.05531593050785866;-0.052067262639974965
9;star-atlas;10/09/21;0.12468357383328074;269233662.93226814;-0.09576367021259957;-0.09966883563533346
10;star-atlas;11/09/21;0.14526393302732982;312606616.28847086;0.16506070977374998;0.1610978095525677
11;star-atlas;12/09/21;0.1382722520186642;300145170.05810934;-0.04813088054933923;-0.039863027783334615
12;star-atlas;13/09/21;0.1273911603759815;275596465.9397924;-0.07869324093465946;-0.0817894358038952
13;star-atlas;14/09/21;0.12789025959034322;276635245.1168299;0.003917848089998399;0.003769203547277833
14;star-atlas;15/09/21;0.13003452641734858;280455998.25501066;0.016766459258694466;0.013811519701935282
15;star-atlas;16/09/21;0.12621284946827044;272842074.57074374;-0.029389709443877976;-0.02714837169338702
16;star-atlas;17/09/21;0.10641107665870582;228856580.4522198;-0.15689189248946267;-0.1612122843873156
17;star-atlas;18/09/21;0.11028401243268318;237571596.91966298;0.036395983346725336;0.03808068988107016
18;star-atlas;19/09/21;0.10291164809962998;222214736.62270448;-0.06684889468954769;-0.06464097769293342
19;star-atlas;20/09/21;0.0969474778695247;208746947.17023262;-0.057954277676432575;-0.06060709409807796
20;star-atlas;21/09/21;0.08230281371247461;177178837.4261672;-0.15105771164835657;-0.1512266894055304
21;star-atlas;22/09/21;0.08774100484729054;189718997.62335736;0.0660753975412589;0.0707768511147151
22;star-atlas;23/09/21;0.09416355110093688;202981979.90012738;0.07319891383537835;0.06990856183575556
23;star-atlas;24/09/21;0.0853159206237639;183898858.17617634;-0.09396024654687163;-0.09401387124778493
24;star-atlas;25/09/21;0.08522692739197917;184159642.25231296;-0.0010431022854127114;0.0014180842595923338
25;star-atlas;26/09/21;0.08115520292729811;175904406.62958306;-0.04777509396712398;-0.044826518567078755
26;star-atlas;27/09/21;0.08092666890613526;174638532.10094804;-0.0028160119489514246;-0.007196377583085112
27;star-atlas;28/09/21;0.0754872665909204;162842652.89648128;-0.06721396529398593;-0.06754453935542859
28;star-atlas;29/09/21;0.07403239954831675;159825319.05787444;-0.01927301263255221;-0.018529137083789338
29;star-atlas;30/09/21;0.07903853372836;171033314.3061833;0.06762085533612927;0.07012653135546265
30;star-atlas;01/10/21;0.09708642677011611;210160360.0064515;0.2283429637470653;0.22876856394318046
31;star-atlas;02/10/21;0.11254276199123686;242744518.2765085;0.1592018136347595;0.15504426367111646
32;star-atlas;03/10/21;0.12227915097109786;264122966.09757146;0.08651279573731374;0.08806974498477005
33;star-atlas;04/10/21;0.1255987589668874;271348309.02312016;0.027147784143301656;0.02735598131545869
34;star-atlas;05/10/21;0.12583732280068105;271918188.680327;0.0018994123489430859;0.0021001776619078427
35;star-atlas;06/10/21;0.11183566235391111;241697435.1554985;-0.11126794606833579;-0.11113913957538413
36;star-atlas;07/10/21;0.10566919582394561;228152128.65622228;-0.05513864182653405;-0.05604240893397028
37;star-atlas;08/10/21;0.10914331425670544;236016694.31333855;0.032877305497318376;0.034470709098517904
38;star-atlas;09/10/21;0.10327202591943792;223228456.77637312;-0.053794301348209284;-0.05418361431665342
39;star-atlas;10/10/21;0.09597922313416786;207672161.60108683;-0.07061740796059468;-0.06968777816203942
40;star-atlas;11/10/21;0.09134281817270745;197095095.15649232;-0.04830633974791865;-0.050931556560343316
41;star-atlas;12/10/21;0.09228932312823294;199414954.12311965;0.010362116852316472;0.011770252145470117
42;star-atlas;13/10/21;0.09127516343410283;197155903.50575778;-0.010988916808079452;-0.01132839122971252
43;star-atlas;14/10/21;0.09424685692942024;203581047.85880885;0.03255752587573135;0.03258915527661799
44;my-neighbor-alice;14/03/21;20.913967088278223;372914848.1100431;0.0;0.0
45;my-neighbor-alice;15/03/21;20.913967088278223;372914848.1100431;0.0;0.0
46;my-neighbor-alice;16/03/21;16.900195106783503;288844277.61148435;-0.19191825082981717;-0.22544173535763978
47;my-neighbor-alice;17/03/21;14.710144949280929;254094315.93658444;-0.12958727065958653;-0.12030690710667646
48;my-neighbor-alice;18/03/21;17.068439703400763;296835120.61900634;0.16031757418101544;0.16820842498928212
49;my-neighbor-alice;19/03/21;15.22780741069031;265055789.38396424;-0.10783834519705515;-0.10706054987284164
50;my-neighbor-alice;20/03/21;14.419457123499711;252054389.89619854;-0.05308382654111565;-0.04905155823226204
51;my-neighbor-alice;21/03/21;14.065871903777234;246798106.11167532;-0.024521396103479587;-0.02085376805652095
52;my-neighbor-alice;22/03/21;12.080372569577397;212667064.32220322;-0.14115721711262375;-0.13829539588941542
53;my-neighbor-alice;23/03/21;11.693430800513996;201390635.53045717;-0.03203061551577113;-0.05302386068893861
54;my-neighbor-alice;24/03/21;11.855288001470296;210294943.01536933;0.01384172051107413;0.044214108870844315
