;date;Coin;Trend
185;09/05/2021;Star Atlas;5
186;16/05/2021;Star Atlas;6
187;23/05/2021;Star Atlas;6
188;30/05/2021;Star Atlas;4
189;06/06/2021;Star Atlas;4
190;13/06/2021;Star Atlas;7
191;20/06/2021;Star Atlas;5
192;27/06/2021;Star Atlas;4
193;04/07/2021;Star Atlas;3
194;11/07/2021;Star Atlas;6
195;18/07/2021;Star Atlas;6
196;25/07/2021;Star Atlas;9
197;01/08/2021;Star Atlas;11
198;08/08/2021;Star Atlas;8
199;15/08/2021;Star Atlas;18
200;22/08/2021;Star Atlas;47
201;29/08/2021;Star Atlas;82
202;05/09/2021;Star Atlas;100
203;12/09/2021;Star Atlas;55
204;19/09/2021;Star Atlas;34
205;26/09/2021;Star Atlas;33
206;03/10/2021;Star Atlas;64
207;10/10/2021;Star Atlas;37
208;18/10/2020;EnjinCoin;49
209;25/10/2020;EnjinCoin;0
210;01/11/2020;EnjinCoin;0
211;08/11/2020;EnjinCoin;0
212;15/11/2020;EnjinCoin;47
213;22/11/2020;EnjinCoin;0
214;29/11/2020;EnjinCoin;0
215;06/12/2020;EnjinCoin;47
216;13/12/2020;EnjinCoin;0
217;20/12/2020;EnjinCoin;0
218;27/12/2020;EnjinCoin;0
219;03/01/2021;EnjinCoin;48
220;10/01/2021;EnjinCoin;95
221;17/01/2021;EnjinCoin;47
222;24/01/2021;EnjinCoin;0
223;31/01/2021;EnjinCoin;47
224;07/02/2021;EnjinCoin;47
225;14/02/2021;EnjinCoin;0
226;21/02/2021;EnjinCoin;0
227;28/02/2021;EnjinCoin;0
228;07/03/2021;EnjinCoin;95
229;14/03/2021;EnjinCoin;45
230;21/03/2021;EnjinCoin;0
231;28/03/2021;EnjinCoin;100
232;04/04/2021;EnjinCoin;48
233;11/04/2021;EnjinCoin;47
234;18/04/2021;EnjinCoin;47
235;25/04/2021;EnjinCoin;0
236;02/05/2021;EnjinCoin;0
237;09/05/2021;EnjinCoin;49
238;16/05/2021;EnjinCoin;48
239;23/05/2021;EnjinCoin;0
240;30/05/2021;EnjinCoin;49
241;06/06/2021;EnjinCoin;0
242;13/06/2021;EnjinCoin;96
243;20/06/2021;EnjinCoin;0
244;27/06/2021;EnjinCoin;0
245;04/07/2021;EnjinCoin;0
246;11/07/2021;EnjinCoin;0
247;18/07/2021;EnjinCoin;0
248;25/07/2021;EnjinCoin;0
249;01/08/2021;EnjinCoin;0
250;08/08/2021;EnjinCoin;0
251;15/08/2021;EnjinCoin;0
252;22/08/2021;EnjinCoin;0
253;29/08/2021;EnjinCoin;0
254;05/09/2021;EnjinCoin;0
255;12/09/2021;EnjinCoin;0
256;19/09/2021;EnjinCoin;0
257;26/09/2021;EnjinCoin;0
258;03/10/2021;EnjinCoin;52
259;10/10/2021;EnjinCoin;0
