;coin;date;price;market_cap;growth_p;growth_m
0;dogecoin;03/11/20;0.002519626100286261;319863845.11296237;0.0;0.0
1;dogecoin;04/11/20;0.00252069341530306;319758149.09534556;0.00042360055592283175;-0.00033044065227028074
2;dogecoin;05/11/20;0.0026552157725537513;336504090.4105543;0.05336720302199782;0.052370647511521096
3;dogecoin;06/11/20;0.0027574153692735354;350155278.8236016;0.0384901286653212;0.0405676745159087
4;dogecoin;07/11/20;0.0026721986327301775;336953267.09861094;-0.03090457008869474;-0.037703306285556404
5;dogecoin;08/11/20;0.0026813962915643638;345344778.9449557;0.00344198171555421;0.024904082155371876
6;dogecoin;09/11/20;0.002673316509752047;339595729.99146926;-0.0030132740310471195;-0.016647273403263996
7;dogecoin;10/11/20;0.002764883564939465;351265740.47055876;0.034252231209207284;0.03436442054021893
8;dogecoin;11/11/20;0.0027700918314153724;351348658.4457242;0.0018837200025172418;0.00023605483146282857
9;dogecoin;12/11/20;0.002786630115669337;354103512.5645802;0.005970301802418643;0.0078407987411786
10;dogecoin;13/11/20;0.002838131252701197;360686896.2622263;0.018481511680458418;0.018591692722746966
11;dogecoin;14/11/20;0.0027532653753921323;349939417.55178297;-0.029902026986346586;-0.0297972530242121
12;dogecoin;15/11/20;0.002780402618712761;353448378.84999126;0.009856384917768413;0.010027339368503752
13;dogecoin;16/11/20;0.0028955812874004714;368108023.49092585;0.04142517630811127;0.04147605567928303
14;dogecoin;17/11/20;0.0029445990922396473;374357159.72871226;0.016928485155111028;0.016976365194442566
15;dogecoin;18/11/20;0.002919964377517892;371288621.3604348;-0.008366067484934958;-0.008196820305243269
16;dogecoin;19/11/20;0.002904592062602959;369373741.7019157;-0.005264555634065804;-0.005157388479891445
17;dogecoin;20/11/20;0.0029895545497902448;380219646.05280477;0.0292510911536219;0.02936295444531556
18;dogecoin;21/11/20;0.0035101105068943324;446351399.5650661;0.1741249234407216;0.1739303957562386
19;dogecoin;22/11/20;0.0033468863174150056;430016060.34233266;-0.04650115406872013;-0.036597486282446856
20;dogecoin;23/11/20;0.0035901592700016676;456754683.7722471;0.0726863506898423;0.06218052276612185
21;dogecoin;24/11/20;0.004153810498654059;528521952.24775255;0.1569989480305507;0.15712431864473442
22;dogecoin;25/11/20;0.003725840728891116;473486067.7883911;-0.10303064376711846;-0.10413169069950479
23;dogecoin;26/11/20;0.0032487316658129134;413451233.0466814;-0.12805406827473265;-0.12679324446044793
24;dogecoin;27/11/20;0.0032814446937061855;417659896.27939343;0.010069476724568593;0.01017934618721239
25;dogecoin;28/11/20;0.003414203816395023;434604524.08652353;0.0404575225489765;0.04057039700980769
26;dogecoin;29/11/20;0.0034495342068635434;434295427.5891698;0.010348061325121671;-0.0007112132530221471
27;dogecoin;30/11/20;0.003560698895231606;453349206.1049365;0.03222599971523055;0.04387285084150361
28;dogecoin;01/12/20;0.003358532265631857;427180904.97209585;-0.056777232658028254;-0.057722172622010626
29;dogecoin;02/12/20;0.0033799641716305774;430431470.5079074;0.00638133098140381;0.007609341845520534
30;dogecoin;03/12/20;0.0034206365223368776;436200080.26529336;0.012033367408944784;0.013401923773322277
31;dogecoin;04/12/20;0.003308822640579143;421462226.4064045;-0.03268803365326478;-0.03378691230392583
32;dogecoin;05/12/20;0.003394700530342044;432447333.42303693;0.025954213655848823;0.02606427415879442
33;dogecoin;06/12/20;0.0033874679252528625;431572835.7087211;-0.002130557621957019;-0.002022206282077721
34;dogecoin;07/12/20;0.0033380117038732133;426848799.2965397;-0.014599760786209504;-0.010946093037629834
35;dogecoin;08/12/20;0.003184175796414202;407375728.08954424;-0.04608608989612295;-0.04562053645011466
36;dogecoin;09/12/20;0.003154872306107628;402070260.7146427;-0.009202849396560797;-0.013023523516686675
37;dogecoin;10/12/20;0.0031161119349890688;397073749.5487607;-0.012285876370819016;-0.012426960295449763
38;dogecoin;11/12/20;0.0030793343605252464;392528272.4517923;-0.01180239196508559;-0.01144743791835634
39;dogecoin;12/12/20;0.0031677176252758532;403838360.46473753;0.028702068175386897;0.02881343537957326
40;dogecoin;13/12/20;0.0032634298272873627;416084732.448049;0.03021487813427637;0.030324934880426868
41;dogecoin;14/12/20;0.0032248377510289534;411207642.40241486;-0.011825618536583593;-0.011721386691935565
42;dogecoin;15/12/20;0.0032158100120930327;409873944.7316598;-0.0027994397339959898;-0.003243367907666106
43;dogecoin;16/12/20;0.0034236073775041854;437240009.93185735;0.06461742597657572;0.0667670281362085
44;dogecoin;17/12/20;0.0037263638298229034;475313350.46963894;0.08843200137611218;0.08707652473001093
45;dogecoin;18/12/20;0.0038439810489546114;487874217.1648562;0.03156353606440465;0.02642649671591668
46;dogecoin;19/12/20;0.003924838527422896;500738033.8133846;0.02103482754949426;0.02636707617648426
47;dogecoin;20/12/20;0.004615995372385029;588981009.269255;0.17609816050597038;0.17622582966956513
48;dogecoin;21/12/20;0.004801855191794443;612762329.8263648;0.040264299336457476;0.04037705831401084
49;dogecoin;22/12/20;0.004533534522381022;578585500.0546367;-0.055878542499977035;-0.05577501766698445
50;dogecoin;23/12/20;0.0038264900775428316;493809267.6235404;-0.1559587649212052;-0.14652325788166276
51;dogecoin;24/12/20;0.004587077067583234;583605834.2353426;0.19876883896921305;0.18184463617693658
52;dogecoin;25/12/20;0.004589209805707651;585882282.2384405;0.0004649449078344414;0.003900660119480426
53;dogecoin;26/12/20;0.004516045564179549;576604270.3244793;-0.01594266652117471;-0.015835966021217285
54;dogecoin;27/12/20;0.004552181715778152;587180822.7622855;0.008001724315013004;0.01834282710368118
